"plec","edukacja","wiek","wojewodztwo","podregion66","waga","rok"
"mężczyzna","podstawowe i niższe","65+ lat","Pomorskie","STAROGARDZKI",0.97689618,"2000"
"mężczyzna","podstawowe i niższe","65+ lat","Pomorskie","TRÓJMIEJSKI",4.117222967,"2000"
"mężczyzna","podstawowe i niższe","65+ lat","Śląskie","BIELSKI",1.04,"2000"
"mężczyzna","podstawowe i niższe","65+ lat","Śląskie","BYTOMSKI",0,"2000"
"mężczyzna","podstawowe i niższe","65+ lat","Śląskie","CZĘSTOCHOWSKI",6.149272064,"2000"
"mężczyzna","podstawowe i niższe","65+ lat","Śląskie","KATOWICKI",0,"2000"
"mężczyzna","podstawowe i niższe","65+ lat","Śląskie","RYBNICKI",1.04,"2000"
"mężczyzna","podstawowe i niższe","65+ lat","Śląskie","SOSNOWIECKI",6.0716188,"2000"
"mężczyzna","podstawowe i niższe","65+ lat","Świętokrzyskie","KIELECKI",3.472339663,"2000"
"mężczyzna","podstawowe i niższe","65+ lat","Świętokrzyskie","SANDOMIERSKO-JĘDRZEJOWSKI",2.6577343,"2000"
"mężczyzna","podstawowe i niższe","65+ lat","Świętokrzyskie",NA,0.5777343,"2000"
"mężczyzna","podstawowe i niższe","65+ lat","Warmińsko-Mazurskie","ELBLĄSKI",4.548915996,"2000"
"mężczyzna","podstawowe i niższe","65+ lat","Warmińsko-Mazurskie","EŁCKI",2.08,"2000"
"mężczyzna","podstawowe i niższe","65+ lat","Warmińsko-Mazurskie","OLSZTYŃSKI",4.953965536,"2000"
"mężczyzna","podstawowe i niższe","65+ lat","Wielkopolskie","KALISKI",4.8111076,"2000"
"mężczyzna","podstawowe i niższe","65+ lat","Wielkopolskie","KONIŃSKI",0,"2000"
"mężczyzna","podstawowe i niższe","65+ lat","Wielkopolskie","LESZCZYŃSKI",2.08,"2000"
"mężczyzna","podstawowe i niższe","65+ lat","Wielkopolskie","PILSKI",1.57038687,"2000"
"mężczyzna","podstawowe i niższe","65+ lat","Wielkopolskie","M. POZNAŃ",1.57038687,"2000"
"mężczyzna","podstawowe i niższe","65+ lat","Wielkopolskie",NA,4.04610964875,"2000"
"mężczyzna","podstawowe i niższe","65+ lat","Zachodniopomorskie","KOSZALIŃSKI",3.26165099,"2000"
"mężczyzna","podstawowe i niższe","65+ lat","Zachodniopomorskie","STARGARDZKI",6.787977275,"2000"
"mężczyzna","podstawowe i niższe","65+ lat","Zachodniopomorskie","SZCZECIŃSKI",2.150825495,"2000"
"mężczyzna","podstawowe i niższe","65+ lat","Zachodniopomorskie","M.SZCZECIN",0.905992425,"2000"
